SEQ_CID_10_CAPITULO,DSC_CAPITULO,COD_CID_10,DSC_CID_10
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A045,ENTERITE POR CAMPYLOBACTER
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A046,ENTERITE DEVIDA A YERSINIA ENTEROCOLITICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A047,ENTEROCOLITE DEVIDA A CLOSTRIDIUM DIFFICILE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A048,OUTRAS INFECCOES BACTERIANAS INTESTINAIS ESPECIFICADAS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A049,INFECCAO INTESTINAL BACTERIANA NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A05,OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A050,INTOXICACAO ALIMENTAR ESTAFILOCOCICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A051,BOTULISMO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A052,INTOXICACAO ALIMENTAR DEVIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A053,INTOXICACAO ALIMENTAR DEVIDA A VIBRIO PARAHEMOLYTICUS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A054,INTOXICACAO ALIMENTAR DEVIDA A BACILLUS CEREUS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A058,OUTRAS INTOXICACOES ALIMENTARES BACTERIANAS ESPECIFICADAS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A059,INTOXICACAO ALIMENTAR BACTERIANA NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A06,AMEBIASE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A060,DISENTERIA AMEBIANA AGUDA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A061,AMEBIASE INTESTINAL CRONICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A062,COLITE AMEBIANA NAO-DISENTERICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A063,AMEBOMA INTESTINAL
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A064,ABSCESSO AMEBIANO DO FIGADO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A065,ABSCESSO AMEBIANO DO PULMAO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A066,ABSCESSO AMEBIANO DO CEREBRO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A067,AMEBIASE CUTANEA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A068,INFECCAO AMEBIANA DE OUTRAS LOCALIZACOES
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A069,AMEBIASE NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A07,OUTRAS DOENCAS INTESTINAIS POR PROTOZOARIOS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A070,BALANTIDIASE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A071,GIARDIASE [LAMBLIASE]
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A072,CRIPTOSPORIDIOSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A073,ISOSPORIASE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A078,OUTRAS DOENCAS INTESTINAIS ESPECIFICADAS POR PROTOZOARIOS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A079,DOENCA INTESTINAL NE POR PROTOZOARIOS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A08,"INFECCOES INTESTINAIS VIRAIS, OUTRAS E AS NAO ESPECIFICADAS"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A080,ENTERITE POR ROTAVIRUS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A081,GASTROENTEROPATIA AGUDA PELO AGENTE DE NORWALK
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A082,ENTERITE POR ADENOVIRUS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A083,OUTRAS ENTERITES VIRAIS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A084,INFECCAO INTESTINAL DEVIDA A VIRUS NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A085,OUTRAS INFECCOES INTESTINAIS ESPECIFICADAS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A09,DIARREIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMIVEL
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A15,"TUBERCULOSE RESPIRATORIA, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A150,"TUBERCULOSE PULMONAR, COM CONFIRMACAO POR EXAME MICROSCOPIO DA EXPECTORACAO, COM"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A151,"TUBERCULOSE PULMONAR, COM CONFIRMACAO SOMENTE POR CULTURA"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A152,"TUBERCULOSE PULMONAR, COM CONFIRMACAO HISTOLOGICA"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A153,"TUBERCULOSE PULMONAR, COM CONFIRMACAO POR MEIO NE"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A154,"TUBERCULOSE DOS GANGLIOS INTRATORACICOS, COM CONFIRMACAO BACTERIOLOGICA E HISTOL"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A155,"TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, COM CONFIRMACAO BACTERIOLOG"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A156,"PLEURIS TUBERCULOSO, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A157,"TUBERCULOSE PRIMARIA DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HI"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A158,"OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOG"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A159,"TUBERCULOSE NE DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HI"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A16,"TUBERCULOSE DAS VIAS RESPIRATORIAS, SEM CONFIRMACAO BACTERIOLOGICA OU HISTOLOG"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A160,TUBERCULOSE PULMONAR COM EXAMES BACTERIOLOGICO E HISTOLOGICO NEGATIVOS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A161,"TUBERCULOSE PULMONAR, SEM REALIZACAO DE EXAME BACTERIOLOGICO OU HISTOLOGICO"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A162,"TUBERCULOSE PULMONAR, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A163,"TUBERCULOSE DOS GANGLIOS INTRATORACICOS, SEM MENCAO DE CONFIRMACAO BACTERIOLOGIC"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A164,"TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, SEM MENCAO DE CONFIRMACAO B"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A165,"PLEURISIA TUBERCULOSA, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A167,TUBERCULOSA RESPIRATORIA PRIMARIA SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HI
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A168,"OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, SEM MENCAO DE CONFIRMACAO B"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A169,"TUBERCULOSE RESPIRATORIA, NE, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A17,TUBERCULOSE DO SISTEMA NERVOSO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A170,MENINGITE TUBERCULOSA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A171,TUBERCULOMA MENINGEO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A178,OUTRAS TUBERCULOSES DO SISTEMA NERVOSO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A179,TUBERCULOSE NE DO SISTEMA NERVOSO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A18,TUBERCULOSE DE OUTROS ORGAOS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A180,TUBERCULOSE OSSEA E DAS ARTICULACOES
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A181,TUBERCULOSE DO APARELHO GENITURINARIO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A182,LINFADENOPATIA TUBERCULOSA PERIFERICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A183,"TUBERCULOSE DO INTESTINO, DO PERITONIO E DOS GANGLIOS MESENTERICOS"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A184,TUBERCULOSE DE PELE E DO TECIDO CELULAR SUBCUTANEO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A185,TUBERCULOSE DO OLHO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A186,TUBERCULOSE DO OUVIDO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A187,TUBERCULOSE DAS SUPRA-RENAIS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A188,TUBERCULOSE DE OUTROS ORGAOS ESPECIFICADOS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A19,TUBERCULOSE MILIAR
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A190,TUBERCULOSE MILIAR AGUDA DE LOCALIZACAO UNICA E ESPECIFICADA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A191,TUBERCULOSE MILIAR AGUDA DE MULTIPLAS LOCALIZACOES
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A192,TUBERCULOSE MILIAR AGUDA NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A198,OUTRAS TUBERCULOSES MILIARES
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A199,TUBERCULOSE MILIAR NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A20,PESTE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A200,PESTE BUBONICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A201,PESTE CELULOCUTANEA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A202,PESTE PNEUMONICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A203,PESTE MENINGEA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A207,PESTE SEPTICEMICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A208,OUTRAS FORMAS DE PESTE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A209,"PESTE, FORMA NE"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A21,TULAREMIA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A210,TULAREMIA ULCEROGLANDULAR
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A211,TULAREMIA OCULOGLANDULAR
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A212,TULAREMIA PULMONAR
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A213,TULAREMIA GASTROINTESTINAL
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A217,TULAREMIA GENERALIZADA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A218,OUTRAS FORMAS DE TULAREMIA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A219,"TULAREMIA, FORMA NE"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A22,CARBONCULO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A220,CARBUNCULO CUTANEO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A221,CARBUNCULO PULMONAR
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A222,CARBUNCULO GASTROINTESTINAL
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A227,SEPTICEMIA CARBUNCULOSA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A228,OUTRAS FORMAS DE CARBUNCULO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A229,"CARBUNCULO, FORMA NE"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A23,BRUCELOSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A230,BRUCELOSE POR BRUCELLA MELITENSIS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A231,BRUCELOSE POR BRUCELLA ABORTUS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A232,BRUCELOSE POR BRUCELLA SUIS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A233,BRUCELOSE POR BRUCELLA CANIS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A238,OUTRAS BRUCELOSES
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A239,BRUCELOSE NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A24,MORMO E MELIOIDOSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A240,MORMO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A241,MELIOIDOSE AGUDA E FULMINANTE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A242,MELIOIDOSE SUBAGUDA E CRONICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A243,OUTRAS MELIOIDOSES
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A244,MELIOIDOSE NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A25,FEBRES TRANSMITIDAS POR MORDEDURA DE RATO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A250,ESPIRILOSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A251,ESTREPTOBACILOSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A259,"FEBRE TRANSMITIDA POR MORDEDURA DE RATO, TIPO NE"
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A26,ERISIPELOIDE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A260,ERISIPELOIDE CUTANEO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A267,SEPTICEMIA POR ERYSIPELOTHRIX
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A268,OUTRAS FORMAS DE ERISIPELOIDE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A269,ERISIPELOIDE NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A27,LEPTOSPIROSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A270,LEPTOPIROSE ICTEROHEMORRAGICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A278,OUTRAS FORMAS DE LEPTOSPIROSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A279,LEPTOSPIROSE NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A28,OUTRAS DOENCAS BACTERIANAS ZOONOTICAS NAO CLASSIFICADAS EM OUTRA PARTE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A280,PASTEURELOSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A281,DOENCA POR ARRANHADURA DO GATO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A282,YERSINIOSE EXTRA-INTESTINAL
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A288,OUTRAS DOENCAS BACTERIANAS ZOONOTICAS ESPECIFICADAS NAO CLASS. EM OUTRA PARTE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A289,DOENCA BACTERIANA ZOONOTICA NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A30,HANSENIASE [DOENCA DE HANSEN] [LEPRA]
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A300,HANSENIASE [LEPRA] INDETERMINADA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A301,HANSENIASE [LEPRA] TUBERCULOIDE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A302,HANSENIASE [LEPRA] TUBERCULOIDE BORDERLINE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A303,HANSENIASE [LEPRA] DIMORFA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A304,HANSENIASE [LEPRA] LEPROMATOSA BORDERLINE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A305,HANSENIASE [LEPRA] LEPROMATOSA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A308,OUTRAS FORMAS DE HANSENIASE [LEPRA]
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A309,HANSENIASE [LEPRA] NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A31,INFECCOES DEVIDAS A OUTRAS MICOBACTERIAS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A310,INFECCAO PULMONAR MICOBACTERIANA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A311,INFECCAO CUTANEA MICOBACTERIANA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A318,OUTRAS INFECCOES MICOBACTERIANAS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A319,INFECCAO MICOBACTERIANA NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A32,LISTERIOSE [LISTERIASE]
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A320,LISTERIOSE CUTANEA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A321,MENINGITE E MENINGOENCEFALITE POR LISTERIA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A327,SEPTICEMIA LISTERIOTICA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A328,OUTRAS FORMAS DE LISTERIOSE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A329,LISTERIOSE NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A33,TETANO DO RECEM-NASCIDO [NEONATAL]
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A34,TETANO OBSTETRICO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A35,OUTROS TIPOS DE TETANO
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A36,DIFTERIA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A360,DIFTERIA FARINGEA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A361,DIFTERIA NASOFARINGEA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A362,DIFTERIA LARINGEA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A363,DIFTERIA CUTANEA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A368,OUTRAS FORMAS DE DIFTERIA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A369,DIFTERIA NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A37,COQUELUCHE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A370,COQUELUCHE POR BORDETELLA PERTUSSIS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A371,COQUELUCHE POR BORDETELLA PARAPERTUSSIS
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A378,COQUELUCHE POR OUTRAS ESPECIES DA BORDETELLA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A379,COQUELUCHE NE
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A38,ESCARLATINA
1,ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS (A00-B99),A39,INFECCAO MENINGOGOCICA
