cid_id,cid_10,descritor_cid
70,A150,"TUBERCULOSE PULMONAR, COM CONFIRMACAO POR EXAME MICROSCOPIO DA EXPECTORACAO, COM"
71,A151,"TUBERCULOSE PULMONAR, COM CONFIRMACAO SOMENTE POR CULTURA"
72,A152,"TUBERCULOSE PULMONAR, COM CONFIRMACAO HISTOLOGICA"
73,A153,"TUBERCULOSE PULMONAR, COM CONFIRMACAO POR MEIO NE"
74,A154,"TUBERCULOSE DOS GANGLIOS INTRATORACICOS, COM CONFIRMACAO BACTERIOLOGICA E HISTOL"
75,A155,"TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, COM CONFIRMACAO BACTERIOLOG"
76,A156,"PLEURIS TUBERCULOSO, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA"
77,A157,"TUBERCULOSE PRIMARIA DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HI"
78,A158,"OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOG"
79,A159,"TUBERCULOSE NE DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HI"
80,A16,"TUBERCULOSE DAS VIAS RESPIRATORIAS, SEM CONFIRMACAO BACTERIOLOGICA OU HISTOLOG"
81,A160,TUBERCULOSE PULMONAR COM EXAMES BACTERIOLOGICO E HISTOLOGICO NEGATIVOS
82,A161,"TUBERCULOSE PULMONAR, SEM REALIZACAO DE EXAME BACTERIOLOGICO OU HISTOLOGICO"
83,A162,"TUBERCULOSE PULMONAR, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA"
84,A163,"TUBERCULOSE DOS GANGLIOS INTRATORACICOS, SEM MENCAO DE CONFIRMACAO BACTERIOLOGIC"
85,A164,"TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, SEM MENCAO DE CONFIRMACAO B"
86,A165,"PLEURISIA TUBERCULOSA, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA"
87,A167,TUBERCULOSA RESPIRATORIA PRIMARIA SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HI
88,A168,"OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, SEM MENCAO DE CONFIRMACAO B"
89,A169,"TUBERCULOSE RESPIRATORIA, NE, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU"
90,A17,TUBERCULOSE DO SISTEMA NERVOSO
91,A170,MENINGITE TUBERCULOSA
92,A171,TUBERCULOMA MENINGEO
93,A178,OUTRAS TUBERCULOSES DO SISTEMA NERVOSO
94,A179,TUBERCULOSE NE DO SISTEMA NERVOSO
95,A18,TUBERCULOSE DE OUTROS ORGAOS
96,A180,TUBERCULOSE OSSEA E DAS ARTICULACOES
97,A181,TUBERCULOSE DO APARELHO GENITURINARIO
98,A182,LINFADENOPATIA TUBERCULOSA PERIFERICA
99,A183,"TUBERCULOSE DO INTESTINO, DO PERITONIO E DOS GANGLIOS MESENTERICOS"
100,A184,TUBERCULOSE DE PELE E DO TECIDO CELULAR SUBCUTANEO
101,A185,TUBERCULOSE DO OLHO
102,A186,TUBERCULOSE DO OUVIDO
103,A187,TUBERCULOSE DAS SUPRA-RENAIS
104,A188,TUBERCULOSE DE OUTROS ORGAOS ESPECIFICADOS
105,A19,TUBERCULOSE MILIAR
106,A190,TUBERCULOSE MILIAR AGUDA DE LOCALIZACAO UNICA E ESPECIFICADA
107,A191,TUBERCULOSE MILIAR AGUDA DE MULTIPLAS LOCALIZACOES
108,A192,TUBERCULOSE MILIAR AGUDA NE
109,A198,OUTRAS TUBERCULOSES MILIARES
110,A199,TUBERCULOSE MILIAR NE
111,A20,PESTE
112,A200,PESTE BUBONICA
113,A201,PESTE CELULOCUTANEA
114,A202,PESTE PNEUMONICA
115,A203,PESTE MENINGEA
116,A207,PESTE SEPTICEMICA
117,A208,OUTRAS FORMAS DE PESTE
118,A209,"PESTE, FORMA NE"
119,A21,TULAREMIA
120,A210,TULAREMIA ULCEROGLANDULAR
121,A211,TULAREMIA OCULOGLANDULAR
122,A212,TULAREMIA PULMONAR
123,A213,TULAREMIA GASTROINTESTINAL
124,A217,TULAREMIA GENERALIZADA
125,A218,OUTRAS FORMAS DE TULAREMIA
126,A219,"TULAREMIA, FORMA NE"
127,A22,CARBONCULO
128,A220,CARBUNCULO CUTANEO
129,A221,CARBUNCULO PULMONAR
130,A222,CARBUNCULO GASTROINTESTINAL
131,A227,SEPTICEMIA CARBUNCULOSA
132,A228,OUTRAS FORMAS DE CARBUNCULO
133,A229,"CARBUNCULO, FORMA NE"
134,A23,BRUCELOSE
135,A230,BRUCELOSE POR BRUCELLA MELITENSIS
136,A231,BRUCELOSE POR BRUCELLA ABORTUS
137,A232,BRUCELOSE POR BRUCELLA SUIS
138,A233,BRUCELOSE POR BRUCELLA CANIS
139,A238,OUTRAS BRUCELOSES
140,A239,BRUCELOSE NE
141,A24,MORMO E MELIOIDOSE
142,A240,MORMO
143,A241,MELIOIDOSE AGUDA E FULMINANTE
144,A242,MELIOIDOSE SUBAGUDA E CRONICA
145,A243,OUTRAS MELIOIDOSES
146,A244,MELIOIDOSE NE
147,A25,FEBRES TRANSMITIDAS POR MORDEDURA DE RATO
148,A250,ESPIRILOSE
149,A251,ESTREPTOBACILOSE
150,A259,"FEBRE TRANSMITIDA POR MORDEDURA DE RATO, TIPO NE"
151,A26,ERISIPELOIDE
152,A260,ERISIPELOIDE CUTANEO
153,A267,SEPTICEMIA POR ERYSIPELOTHRIX
154,A268,OUTRAS FORMAS DE ERISIPELOIDE
155,A269,ERISIPELOIDE NE
156,A27,LEPTOSPIROSE
157,A270,LEPTOPIROSE ICTEROHEMORRAGICA
158,A278,OUTRAS FORMAS DE LEPTOSPIROSE
159,A279,LEPTOSPIROSE NE
160,A28,OUTRAS DOENCAS BACTERIANAS ZOONOTICAS NAO CLASSIFICADAS EM OUTRA PARTE
161,A280,PASTEURELOSE
162,A281,DOENCA POR ARRANHADURA DO GATO
163,A282,YERSINIOSE EXTRA-INTESTINAL
164,A288,OUTRAS DOENCAS BACTERIANAS ZOONOTICAS ESPECIFICADAS NAO CLASS. EM OUTRA PARTE
165,A289,DOENCA BACTERIANA ZOONOTICA NE
166,A30,HANSENIASE [DOENCA DE HANSEN] [LEPRA]
167,A300,HANSENIASE [LEPRA] INDETERMINADA
168,A301,HANSENIASE [LEPRA] TUBERCULOIDE
169,A302,HANSENIASE [LEPRA] TUBERCULOIDE BORDERLINE
170,A303,HANSENIASE [LEPRA] DIMORFA
171,A304,HANSENIASE [LEPRA] LEPROMATOSA BORDERLINE
172,A305,HANSENIASE [LEPRA] LEPROMATOSA
173,A308,OUTRAS FORMAS DE HANSENIASE [LEPRA]
174,A309,HANSENIASE [LEPRA] NE
175,A31,INFECCOES DEVIDAS A OUTRAS MICOBACTERIAS
176,A310,INFECCAO PULMONAR MICOBACTERIANA
177,A311,INFECCAO CUTANEA MICOBACTERIANA
178,A318,OUTRAS INFECCOES MICOBACTERIANAS
179,A319,INFECCAO MICOBACTERIANA NE
180,A32,LISTERIOSE [LISTERIASE]
181,A320,LISTERIOSE CUTANEA
182,A321,MENINGITE E MENINGOENCEFALITE POR LISTERIA
183,A327,SEPTICEMIA LISTERIOTICA
184,A328,OUTRAS FORMAS DE LISTERIOSE
185,A329,LISTERIOSE NE
186,A33,TETANO DO RECEM-NASCIDO [NEONATAL]
187,A34,TETANO OBSTETRICO
188,A35,OUTROS TIPOS DE TETANO
189,A36,DIFTERIA
190,A360,DIFTERIA FARINGEA
191,A361,DIFTERIA NASOFARINGEA
192,A362,DIFTERIA LARINGEA
193,A363,DIFTERIA CUTANEA
194,A368,OUTRAS FORMAS DE DIFTERIA
195,A369,DIFTERIA NE
196,A37,COQUELUCHE
197,A370,COQUELUCHE POR BORDETELLA PERTUSSIS
198,A371,COQUELUCHE POR BORDETELLA PARAPERTUSSIS
199,A378,COQUELUCHE POR OUTRAS ESPECIES DA BORDETELLA
200,A379,COQUELUCHE NE
201,A38,ESCARLATINA
202,A39,INFECCAO MENINGOGOCICA
203,A390,MENINGITE MENINGOCOCICA
204,A391,SINDROME DE WATERHOUSE-FRIDERICHSEN
205,A392,MENINGOCOCCEMIA AGUDA
206,A393,MENINGOCOCCEMIA CRONICA
207,A394,MENINGOCOCCEMIA NE
208,A395,CARDITE POR MENINGOCOCOS
209,A398,OUTRAS INFECCOES POR MENINGOCOCOS
210,A399,INFECCAO MENINGOCOCICA NE
211,A40,SEPTICEMIA ESTREPTOCOCICA
212,A400,SEPTICEMIA POR STREPTOCOCCUS DO GRUPO A
213,A401,SEPTICEMIA POR STREPTOCOCCUS DO GRUPO B
214,A402,SEPTICEMIA POR STREPTOCOCCUS DO GRUPO D
215,A403,SEPTICEMIA POR STREPTOCOCCUS PNEUMONIA
216,A408,OUTRAS SEPTICEMIAS ESTREPTOCOCICAS
217,A409,SEPTICEMIA ESTREPTOCOCICA NE
218,A41,OUTRAS SEPTICEMIAS
219,A410,SEPTICEMIA POR STAPHYLOCOCCUS AUREUS
220,A411,SEPTICEMIA POR OUTROS ESTAFILOCOCOS ESPECIFICADOS
221,A412,SEPTICEMIA POR ESTAFILOCOCOS NE
222,A413,SEPTICEMIA POR HAEMOPHILUS INFLUENZAE
223,A414,SEPTICEMIA POR ANAEROBIOS
224,A415,SEPTICEMIA POR OUTROS MICROORGANISMOS GRAM-NEGATIVOS
225,A418,OUTRAS SEPTICEMIAS ESPECIFICADAS
226,A419,SEPTICEMIA NE
227,A42,ACTINOMICOSE
228,A420,ACTINOMICOSE PULMONAR
229,A421,ACTINOMICOSE ABDOMINAL
230,A422,ACTINOMICOSE CERVICOFACIAL
231,A427,SEPTICEMIA ACTINOMICOTICA
232,A428,OUTRAS FORMAS DE ACTINOMICOSE
233,A429,ACTINOMICOSE NE
234,A43,NOCARDIOSE
235,A430,NOCARDIOSE PULMONAR
236,A431,NOCARDIOSE CUTANEA
237,A438,OUTRAS FORMAS DE NOCARDIOSE
238,A439,NOCARDIOSE NE
239,A44,BARTONELOSE
240,A440,BARTONELOSE SISTEMICA
241,A441,BARTONELOSE CUTANEA E CUTANEO-MUCOSA
242,A448,OUTRAS FORMAS DE BARTONELOSE
243,A449,BARTONELOSE NE
244,A46,ERISIPELA
245,A48,OUTRAS DOENCAS BACTERIANAS NAO CLASSIFICADAS EM OUTRA PARTE
246,A480,GANGRENA GASOSA
247,A481,DOENCA DOS LEGIONARIOS
248,A482,DOENCA DOS LEGIONARIOS NAO-PNEUMONICA [FEBRE DE PONTIAC]
249,A483,SINDROME DO CHOQUE TOXICO
250,A484,FEBRE PURPURICA DO BRASIL
251,A488,OUTRAS DOENCAS BACTERIANAS ESPECIFICADAS
252,A49,INFECCAO BACTERIANA DE LOCAL NAO ESPECIFICADO
253,A490,INFECCAO ESTAFILOCOCICA NE
254,A491,INFECCAO ESTREPTOCOCICA NE
255,A492,INFECCAO POR HAEMOPHILUS INFLUENZAE NE
256,A493,INFECCAO POR MYCOPLASMA NE
257,A498,OUTRAS INFECCOES BACTERIANAS DE LOCALIZACAO NE
258,A499,INFECCAO BACTERIANA NE
259,A50,SIFILIS CONGENITA
260,A500,SIFILIS CONGENITA PRECOCE SINTOMATICA
261,A501,"SIFILIS CONGENITA PRECOCE, FORMA LATENTE"
262,A502,SIFILIS CONGENITA PRECOCE NE
263,A503,OCULOPATIA SIFILITICA CONGENITA TARDIA
264,A504,NEUROSSIFILIS CONGENITA TARDIA [NEUROSSIFILIS JUVENIL]
265,A505,OUTRAS FORMAS TARDIAS E SINTOMATICAS DA SIFILIS CONGENITA
266,A506,SIFILIS CONGENITA TARDIA LATENTE
267,A507,SIFILIS CONGENITA TARDIA NE
268,A509,SIFILIS CONGENITA NE
269,A51,SIFILIS PRECOCE
270,A510,SIFILIS GENITAL PRIMARIA
271,A511,SIFILIS ANAL PRIMARIA
272,A512,SIFILIS PRIMARIA DE OUTRAS LOCALIZACOES
273,A513,SIFILIS SECUNDARIA DA PELE E DAS MUCOSAS
274,A514,OUTRAS FORMAS DE SIFILIS SECUNDARIA
275,A515,SIFILIS PRECOCE LATENTE
276,A519,SIFILIS PRECOCE NE
277,A52,SIFILIS TARDIA
278,A520,SIFILIS CARDIOVASCULAR
279,A521,NEUROSSIFILIS SINTOMATICA
280,A522,NEUROSSIFILIS ASSINTOMATICA
281,A523,NEUROSSIFILIS NE
282,A527,OUTRAS FORMAS DE SIFILIS TARDIA SINTOMATICA
283,A528,SIFILIS TARDIA LATENTE
284,A529,SIFILIS TARDIA NE
285,A53,OUTRAS FORMAS E AS NAO ESPECIFICADAS DA SIFILIS
286,A530,"SIFILIS LATENTE, NE SE RECENTE OU TARDIA"
287,A539,SIFILIS NE
288,A54,INFECCAO GONOCOCICA
289,A540,"INFECCAO GONOCOCICA DO TRATO GENITURINARIO INFERIOR, SEM ABSCESSO PERIURETRAL OU"
290,A541,"INFECCAO GONOCOCICA DO TRATO GENITURINARIO INFERIOR, COM ABSCESSO PERIURETRAL OU"
291,A542,PELVIPERITONITE GONOCOCICA E OUTRAS INFECCOES GENITURINARIAS GONOCOCICAS
292,A543,INFECCAO GONOCOCICA DO OLHO
293,A544,INFECCAO GONOCOCICA DO SISTEMA MUSCULO-ESQUELETICO
294,A545,FARINGITE GONOCOCICA
295,A546,INFECCAO GONOCOCICA DO ANUS OU DO RETO
296,A548,OUTRAS INFECCOES GONOCOCICAS
297,A549,INFECCAO GONOCOCICA NE
298,A55,LINFOGRANULOMA (VENEREO) POR CLAMIDIA
299,A56,OUTRAS INFECCOES CAUSADAS POR CLAMIDIAS TRANSMITIDAS POR VIA SEXUAL
300,A560,INFECCOES POR CLAMIDIAS DO TRATO GENITURINARIO INFERIOR
301,A561,"INFECCAO POR CLAMIDIAS, PELVIPERITONIAL E DE OUTROS ORGAOS GENITURINARIOS"
302,A562,"INFECCAO POR CLAMIDIAS DO TRATO GENITURINARIO, LOCALIZACAO NE"
303,A563,INFECCAO DO ANUS E DO RETO POR CLAMIDIAS
304,A564,INFECCAO DA FARINGE POR CLAMIDIAS
305,A568,"INFECCAO POR CLAMIDIAS TRANSMITIDA POR VIA SEXUAL, DE OUTRAS LOCALIZACOES"
306,A57,CANCRO MOLE
307,A58,GRANULOMA INGUINAL
308,A59,TRICOMONIASE
309,A590,TRICOMONIASE UROGENITAL
310,A598,OUTRAS LOCALIZACOES DE TRICOMONIASE
311,A599,TRICOMONIASE NE
312,A60,INFECCOES ANOGENITAIS PELO VIRUS DO HERPES [HERPES SIMPLES]
313,A600,INFECCAO DOS ORGAOS GENITAIS E DO TRATO GENITURINARIO PELO VIRUS DO HERPES
314,A601,INFECCAO DA MARGEM CUTANEA DO ANUS E DO RETO PELO VIRUS DO HERPES
315,A609,INFECCAO ANOGENITAL NE PELO VIRUS DO HERPES
316,A63,"OUTRAS DOENCAS DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL, NAO CLASSIFICADAS EM O"
317,A630,VERRUGAS ANOGENITAIS (VENEREAS)
318,A638,OUTRAS DOENCAS ESPECIFICADAS DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL
319,A64,"DOENCAS SEXUALMENTE TRANSMITIDAS, NAO ESPECIFICADAS"
320,A65,SIFILIS NAO-VENEREA
321,A66,BOUBA
322,A660,LESOES INICIAIS DA BOUBA
323,A661,PAPILOMAS MULTIPLOS E BOUBA PLANTAR UMIDA (CRAVO DE BOUBA)
324,A662,OUTRAS LESOES CUTANEAS PRECOCES DA BOUBA
325,A663,HIPERCERATOSE DEVIDA A BOUBA
326,A664,GOMAS E ULCERAS DEVIDAS A BOUBA
327,A665,GANGOSA
328,A666,LESOES OSTEOARTICULARES DEVIDAS A BOUBA
329,A667,OUTRAS MANIFESTACOES DA BOUBA
330,A668,BOUBA LATENTE
331,A669,BOUBA NE
332,A67,PINTA [CARATE]
333,A670,LESOES PRIMARIAS DA PINTA
334,A671,LESOES INTERMEDIARIAS DA PINTA
335,A672,LESOES TARDIAS DA PINTA
336,A673,LESOES MISTAS DA PINTA
337,A679,PINTA NE
338,A68,FEBRES RECORRENTES [BORRELIOSES]
339,A680,FEBRE RECORRENTE TRANSMITIDA POR PIOLHOS
340,A681,FEBRE RECORRENTE TRANSMITIDA POR CARRAPATOS
341,A689,FEBRE RECORRENTE NE POR BORRELIOSES
342,A69,OUTRAS INFECCOES POR ESPIROQUETAS
343,A690,ESTOMATITE ULCERATIVA NECROTIZANTE
344,A691,OUTRAS INFECCOES DE VINCENT
345,A692,DOENCA DE LYME
346,A698,OUTRAS INFECCOES ESPECIFICADAS POR ESPIROQUETAS
347,A699,"INFECCAO POR ESPIROQUETA, NE"
348,A70,INFECCOES CAUSADAS POR CLAMIDIA PSITTACI
349,A71,TRACOMA
350,A710,FASE INICIAL DO TRACOMA
351,A711,FASE ATIVA DO TRACOMA
352,A719,TRACOMA NE
353,A74,OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS
354,A740,CONJUNTIVITE CAUSADA POR CLAMIDIAS
355,A748,OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS
356,A749,INFECCAO CAUSADA POR CLAMIDIAS NE
357,A75,TIFO EXANTEMATICO
358,A750,TIFO EPIDEMICO TRANSMITIDO POR PIOLHOS DEVIDO A RICKETTSIA PROWAZEKII
359,A751,TIFO RECRUDESCENTE [DOENCA DE BRILL]
360,A752,TIFO POR RICKETTSIA TYPHI
361,A753,TIFO POR RICKETTSIA TSUTSUGAMUCHI
362,A759,TIFO NE
363,A77,FEBRE MACULOSA [RICKETTSIOSES TRANSMITIDAS POR CARRAPATOS]
364,A770,FEBRE MACULOSA POR RICKETTSIA RICHETTSII
365,A771,FEBRE MACULOSA POR RICKETTSIA CONORII
366,A772,FEBRE MACULOSA DEVIDA A RICKETTSIA SIBERICA
367,A773,FEBRE MACULOSA DEVIDA A RICKETTSIA AUSTRALIS
368,A778,OUTRAS FEBRES MACULOSAS
369,A779,FEBRE MACULOSA NE
370,A78,FEBRE Q
371,A79,OUTRAS RICKETTSIOSES
372,A790,FEBRE DAS TRINCHEIRAS
373,A791,RICKETTSIOSE VARICELIFORME DEVIDA A RICKETTSIA AKARI
374,A798,OUTROS TIPOS DE RICKETTSIOSES ESPECIFICADAS
375,A799,RICKETTSIOSE NE
376,A80,POLIOMIELITE AGUDA
377,A800,"POLIOMIELITE PARALITICA AGUDA, ASSOCIADA AO VIRUS VACINAL"
378,A801,"POLIOMIELITE PARALITICA AGUDA, VIRUS SELVAGEM IMPORTADO"
379,A802,"POLIOMIELITE PARALITICA AGUDA, VIRUS SELVAGEM INDIGENA"
380,A803,"POLIOMIELITES PARALITICAS AGUDAS, OUTRAS E NE"
381,A804,POLIOMIELITE AGUDA NAO-PARALITICA
382,A809,POLIOMIELITE AGUDA NE
383,A81,INFECCOES POR VIRUS LENTOS DO SISTEMA NERVOSO CENTRAL
384,A810,DOENCA DE CREUTZFELDT-JAKOB
385,A811,PANENCEFALITE ESCLEROSANTE SUBAGUDA
386,A812,LEUCOENCEFALOPATIA MULTIFOCAL PROGRESSIVA
387,A818,OUTRAS INFECCOES POR VIRUS LENTOS DO SISTEMA NERVOSO CENTRAL
388,A819,INFECCAO NE DO SISTEMA NERVOSOS CENTRAL POR VIRUS LENTOS
389,A82,RAIVA
390,A820,RAIVA SILVESTRE
391,A821,RAIVA URBANA
392,A829,RAIVA NE
393,A83,ENCEFALITE POR VIRUS TRANSMITIDOS POR MOSQUITOS
394,A830,ENCEFALITE JAPONESA
395,A831,ENCEFALITE EQAINA OCIDENTAL
396,A832,ENCEFALITE EQAINA ORIENTAL
397,A833,ENCEFALITE DE ST. LOUIS
398,A834,ENCEFALITE AUSTRALIANA
399,A835,ENCEFALITE DA CALIFORNIA
400,A836,DOENCA PELO VIRUS DE ROCIO
401,A838,OUTRAS ENCEFALITES POR VIRUS TRANSMITIDAS POR MOSQUITOS
402,A839,ENCEFALITE NE POR VIRUS TRANSMITIDA POR MOSQUITOS
403,A84,ENCEFALITE POR VIRUS TRANSMITIDO POR CARRAPATOS
404,A840,ENCEFALITE DA TAIGA [ENCEFALITE VERNOESTIVAL RUSSA]
405,A841,ENCEFALITE DA EUROPA CENTRAL TRANSMITIDA POR CARRAPATOS
406,A848,OUTRAS ENCEFALITES POR VIRUS TRANSMITIDAS POR CARRAPATOS
407,A849,ENCEFALITE NE POR VIRUS TRANSMITIDA POR CARRAPATOS
408,A85,"OUTRAS ENCEFALITES VIRAIS, NAO CLASSIFICADAS EM OUTRA PARTE"
409,A850,ENCEFALITE POR ENTEROVIRUS
410,A851,ENCEFALITE POR ADENOVIRUS
411,A852,"ENCEFALITE POR VIRUS TRANSMITIDO POR ARTROPODES, NE"
412,A858,OUTRAS ENCEFALITES VIRAIS ESPECIFICADAS
413,A86,"ENCEFALITE VIRAL, NAO ESPECIFICADA"
414,A87,MENINGITE VIRAL
415,A870,MENINGITE POR ENTEROVIRUS
416,A871,MENINGITE POR ADENOVIRUS
417,A872,CORIOMENINGITE LINFOCITARIA
418,A878,OUTRAS MENINGITES VIRAIS
419,A879,MENINGITE VIRAL NE
420,A88,OUTRAS INFECCOES VIRAIS DO SISTEMA NERVOSO CENTRAL NAO CLASSIFICADAS EM OUTRA
421,A880,FEBRE EXANTEMATICA POR ENTEROVIRUS [EXANTEMA DE BOSTON]
422,A881,VERTIGEM EPIDEMICA
423,A888,OUTRAS INFECCOES VIRAIS ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL
424,A89,INFECCOES VIRAIS NAO ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL
425,A90,DENGUE [DENGUE CLASSICO]
426,A91,FEBRE HEMORRAGICA DEVIDA AO VIRUS DO DENGUE
427,A92,OUTRAS FEBRES VIRAIS TRANSMITIDAS POR MOSQUITOS
428,A920,FEBRE DE CHIKUNGUNYA
429,A921,FEBRE DE O'NYONG-NYONG
430,A922,FEBRE EQUINA VENEZUELANA
431,A923,FEBRE POR VIRUS WEST NILE
432,A924,FEBRE DO VALE DO RIFT
433,A928,OUTRAS FEBRES VIRAIS ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS
434,A929,"FEBRE VIRAL TRANSMITIDA POR MOSQUITOS, NE"
435,A93,OUTRAS FEBRES POR VIRUS TRANSMITIDAS POR ARTROPODES NAO CLASSIFICADAS EM OUTRA
436,A930,FEBRE DE OROPOUCHE
437,A931,FEBRE POR FLEBOTOMOS
438,A932,FEBRE DO COLORADO TRANSMITIDA POR CARRAPATOS
439,A938,OUTRAS FEBRES VIRAIS ESPECIFICADAS TRANSMITIDAS POR ARTROPODES
440,A94,"FEBRE VIRAL TRANSMITIDA POR ARTROPODES, NAO ESPECIFICADA"
441,A95,FEBRE AMARELA
442,A950,FEBRE AMARELA SILVESTRE
443,A951,FEBRE AMARELA URBANA
444,A959,FEBRE AMARELA NE
445,A96,FEBRE HEMORRAGICA POR ARENAVIRUS
446,A960,FEBRE HEMORRAGICA DE JUNIN
447,A961,FEBRE HEMORRAGICA DE MACHUPO
448,A962,FEBRE DE LASSA
449,A968,OUTRAS FEBRES HEMORRAGICAS POR ARENAVIRUS
450,A969,"FEBRE HEMORRAGICA POR ARENAVIRUS, NE"
451,A98,"OUTRAS FEBRES HEMORRAGICAS POR VIRUS, NAO CLASSIFICADAS EM OUTRA PARTE"
452,A980,FEBRE HEMORRAGICA DA CRIMEIA (DO CONGO)
