cid_10,descritor_cid
A08,"INFECCOES INTESTINAIS VIRAIS, OUTRAS E AS NAO ESPECIFICADAS"
A080,ENTERITE POR ROTAVIRUS
A081,GASTROENTEROPATIA AGUDA PELO AGENTE DE NORWALK
A082,ENTERITE POR ADENOVIRUS
A083,OUTRAS ENTERITES VIRAIS
A084,INFECCAO INTESTINAL DEVIDA A VIRUS NE
A085,OUTRAS INFECCOES INTESTINAIS ESPECIFICADAS
A09,DIARREIA E GASTROENTERITE DE ORIGEM INFECCIOSA PRESUMIVEL
A15,"TUBERCULOSE RESPIRATORIA, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA"
A150,"TUBERCULOSE PULMONAR, COM CONFIRMACAO POR EXAME MICROSCOPIO DA EXPECTORACAO, COM"
A151,"TUBERCULOSE PULMONAR, COM CONFIRMACAO SOMENTE POR CULTURA"
A152,"TUBERCULOSE PULMONAR, COM CONFIRMACAO HISTOLOGICA"
A153,"TUBERCULOSE PULMONAR, COM CONFIRMACAO POR MEIO NE"
A154,"TUBERCULOSE DOS GANGLIOS INTRATORACICOS, COM CONFIRMACAO BACTERIOLOGICA E HISTOL"
A155,"TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, COM CONFIRMACAO BACTERIOLOG"
A156,"PLEURIS TUBERCULOSO, COM CONFIRMACAO BACTERIOLOGICA E HISTOLOGICA"
A157,"TUBERCULOSE PRIMARIA DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HI"
A158,"OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOG"
A159,"TUBERCULOSE NE DAS VIAS RESPIRATORIAS, COM CONFIRMACAO BACTERIOLOGICA E HI"
A16,"TUBERCULOSE DAS VIAS RESPIRATORIAS, SEM CONFIRMACAO BACTERIOLOGICA OU HISTOLOG"
A160,TUBERCULOSE PULMONAR COM EXAMES BACTERIOLOGICO E HISTOLOGICO NEGATIVOS
A161,"TUBERCULOSE PULMONAR, SEM REALIZACAO DE EXAME BACTERIOLOGICO OU HISTOLOGICO"
A162,"TUBERCULOSE PULMONAR, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA"
A163,"TUBERCULOSE DOS GANGLIOS INTRATORACICOS, SEM MENCAO DE CONFIRMACAO BACTERIOLOGIC"
A164,"TUBERCULOSE DA LARINGE, DA TRAQUEIA E DOS BRONQUIOS, SEM MENCAO DE CONFIRMACAO B"
A165,"PLEURISIA TUBERCULOSA, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HISTOLOGICA"
A167,TUBERCULOSA RESPIRATORIA PRIMARIA SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU HI
A168,"OUTRAS FORMAS DE TUBERCULOSE DAS VIAS RESPIRATORIAS, SEM MENCAO DE CONFIRMACAO B"
A169,"TUBERCULOSE RESPIRATORIA, NE, SEM MENCAO DE CONFIRMACAO BACTERIOLOGICA OU"
A17,TUBERCULOSE DO SISTEMA NERVOSO
A170,MENINGITE TUBERCULOSA
A171,TUBERCULOMA MENINGEO
A178,OUTRAS TUBERCULOSES DO SISTEMA NERVOSO
A179,TUBERCULOSE NE DO SISTEMA NERVOSO
A18,TUBERCULOSE DE OUTROS ORGAOS
A180,TUBERCULOSE OSSEA E DAS ARTICULACOES
A181,TUBERCULOSE DO APARELHO GENITURINARIO
A182,LINFADENOPATIA TUBERCULOSA PERIFERICA
A183,"TUBERCULOSE DO INTESTINO, DO PERITONIO E DOS GANGLIOS MESENTERICOS"
A184,TUBERCULOSE DE PELE E DO TECIDO CELULAR SUBCUTANEO
A185,TUBERCULOSE DO OLHO
A186,TUBERCULOSE DO OUVIDO
A187,TUBERCULOSE DAS SUPRA-RENAIS
A188,TUBERCULOSE DE OUTROS ORGAOS ESPECIFICADOS
A19,TUBERCULOSE MILIAR
A190,TUBERCULOSE MILIAR AGUDA DE LOCALIZACAO UNICA E ESPECIFICADA
A191,TUBERCULOSE MILIAR AGUDA DE MULTIPLAS LOCALIZACOES
A192,TUBERCULOSE MILIAR AGUDA NE
A198,OUTRAS TUBERCULOSES MILIARES
A199,TUBERCULOSE MILIAR NE
A20,PESTE
A200,PESTE BUBONICA
A201,PESTE CELULOCUTANEA
A202,PESTE PNEUMONICA
A203,PESTE MENINGEA
A207,PESTE SEPTICEMICA
A208,OUTRAS FORMAS DE PESTE
A209,"PESTE, FORMA NE"
A21,TULAREMIA
A210,TULAREMIA ULCEROGLANDULAR
A211,TULAREMIA OCULOGLANDULAR
A212,TULAREMIA PULMONAR
A213,TULAREMIA GASTROINTESTINAL
A217,TULAREMIA GENERALIZADA
A218,OUTRAS FORMAS DE TULAREMIA
A219,"TULAREMIA, FORMA NE"
A22,CARBONCULO
A220,CARBUNCULO CUTANEO
A221,CARBUNCULO PULMONAR
A222,CARBUNCULO GASTROINTESTINAL
A227,SEPTICEMIA CARBUNCULOSA
A228,OUTRAS FORMAS DE CARBUNCULO
A229,"CARBUNCULO, FORMA NE"
A23,BRUCELOSE
A230,BRUCELOSE POR BRUCELLA MELITENSIS
A231,BRUCELOSE POR BRUCELLA ABORTUS
A232,BRUCELOSE POR BRUCELLA SUIS
A233,BRUCELOSE POR BRUCELLA CANIS
A238,OUTRAS BRUCELOSES
A239,BRUCELOSE NE
A24,MORMO E MELIOIDOSE
A240,MORMO
A241,MELIOIDOSE AGUDA E FULMINANTE
A242,MELIOIDOSE SUBAGUDA E CRONICA
A243,OUTRAS MELIOIDOSES
A244,MELIOIDOSE NE
A25,FEBRES TRANSMITIDAS POR MORDEDURA DE RATO
A250,ESPIRILOSE
A251,ESTREPTOBACILOSE
A259,"FEBRE TRANSMITIDA POR MORDEDURA DE RATO, TIPO NE"
A26,ERISIPELOIDE
A260,ERISIPELOIDE CUTANEO
A267,SEPTICEMIA POR ERYSIPELOTHRIX
A268,OUTRAS FORMAS DE ERISIPELOIDE
A269,ERISIPELOIDE NE
A27,LEPTOSPIROSE
A270,LEPTOPIROSE ICTEROHEMORRAGICA
A278,OUTRAS FORMAS DE LEPTOSPIROSE
A279,LEPTOSPIROSE NE
A28,OUTRAS DOENCAS BACTERIANAS ZOONOTICAS NAO CLASSIFICADAS EM OUTRA PARTE
A280,PASTEURELOSE
A281,DOENCA POR ARRANHADURA DO GATO
A282,YERSINIOSE EXTRA-INTESTINAL
A288,OUTRAS DOENCAS BACTERIANAS ZOONOTICAS ESPECIFICADAS NAO CLASS. EM OUTRA PARTE
A289,DOENCA BACTERIANA ZOONOTICA NE
A30,HANSENIASE [DOENCA DE HANSEN] [LEPRA]
A300,HANSENIASE [LEPRA] INDETERMINADA
A301,HANSENIASE [LEPRA] TUBERCULOIDE
A302,HANSENIASE [LEPRA] TUBERCULOIDE BORDERLINE
A303,HANSENIASE [LEPRA] DIMORFA
A304,HANSENIASE [LEPRA] LEPROMATOSA BORDERLINE
A305,HANSENIASE [LEPRA] LEPROMATOSA
A308,OUTRAS FORMAS DE HANSENIASE [LEPRA]
A309,HANSENIASE [LEPRA] NE
A31,INFECCOES DEVIDAS A OUTRAS MICOBACTERIAS
A310,INFECCAO PULMONAR MICOBACTERIANA
A311,INFECCAO CUTANEA MICOBACTERIANA
A318,OUTRAS INFECCOES MICOBACTERIANAS
A319,INFECCAO MICOBACTERIANA NE
A32,LISTERIOSE [LISTERIASE]
A320,LISTERIOSE CUTANEA
A321,MENINGITE E MENINGOENCEFALITE POR LISTERIA
A327,SEPTICEMIA LISTERIOTICA
A328,OUTRAS FORMAS DE LISTERIOSE
A329,LISTERIOSE NE
A33,TETANO DO RECEM-NASCIDO [NEONATAL]
A34,TETANO OBSTETRICO
A35,OUTROS TIPOS DE TETANO
A36,DIFTERIA
A360,DIFTERIA FARINGEA
A361,DIFTERIA NASOFARINGEA
A362,DIFTERIA LARINGEA
A363,DIFTERIA CUTANEA
A368,OUTRAS FORMAS DE DIFTERIA
A369,DIFTERIA NE
A37,COQUELUCHE
A370,COQUELUCHE POR BORDETELLA PERTUSSIS
A371,COQUELUCHE POR BORDETELLA PARAPERTUSSIS
A378,COQUELUCHE POR OUTRAS ESPECIES DA BORDETELLA
A379,COQUELUCHE NE
A38,ESCARLATINA
A39,INFECCAO MENINGOGOCICA
A390,MENINGITE MENINGOCOCICA
A391,SINDROME DE WATERHOUSE-FRIDERICHSEN
A392,MENINGOCOCCEMIA AGUDA
A393,MENINGOCOCCEMIA CRONICA
A394,MENINGOCOCCEMIA NE
A395,CARDITE POR MENINGOCOCOS
A398,OUTRAS INFECCOES POR MENINGOCOCOS
A399,INFECCAO MENINGOCOCICA NE
A40,SEPTICEMIA ESTREPTOCOCICA
A400,SEPTICEMIA POR STREPTOCOCCUS DO GRUPO A
A401,SEPTICEMIA POR STREPTOCOCCUS DO GRUPO B
A402,SEPTICEMIA POR STREPTOCOCCUS DO GRUPO D
A403,SEPTICEMIA POR STREPTOCOCCUS PNEUMONIA
A408,OUTRAS SEPTICEMIAS ESTREPTOCOCICAS
A409,SEPTICEMIA ESTREPTOCOCICA NE
A41,OUTRAS SEPTICEMIAS
A410,SEPTICEMIA POR STAPHYLOCOCCUS AUREUS
A411,SEPTICEMIA POR OUTROS ESTAFILOCOCOS ESPECIFICADOS
A412,SEPTICEMIA POR ESTAFILOCOCOS NE
A413,SEPTICEMIA POR HAEMOPHILUS INFLUENZAE
A414,SEPTICEMIA POR ANAEROBIOS
A415,SEPTICEMIA POR OUTROS MICROORGANISMOS GRAM-NEGATIVOS
A418,OUTRAS SEPTICEMIAS ESPECIFICADAS
A419,SEPTICEMIA NE
A42,ACTINOMICOSE
A420,ACTINOMICOSE PULMONAR
A421,ACTINOMICOSE ABDOMINAL
A422,ACTINOMICOSE CERVICOFACIAL
A427,SEPTICEMIA ACTINOMICOTICA
A428,OUTRAS FORMAS DE ACTINOMICOSE
A429,ACTINOMICOSE NE
A43,NOCARDIOSE
A430,NOCARDIOSE PULMONAR
A431,NOCARDIOSE CUTANEA
A438,OUTRAS FORMAS DE NOCARDIOSE
A439,NOCARDIOSE NE
A44,BARTONELOSE
A440,BARTONELOSE SISTEMICA
A441,BARTONELOSE CUTANEA E CUTANEO-MUCOSA
A448,OUTRAS FORMAS DE BARTONELOSE
A449,BARTONELOSE NE
A46,ERISIPELA
A48,OUTRAS DOENCAS BACTERIANAS NAO CLASSIFICADAS EM OUTRA PARTE
A480,GANGRENA GASOSA
A481,DOENCA DOS LEGIONARIOS
A482,DOENCA DOS LEGIONARIOS NAO-PNEUMONICA [FEBRE DE PONTIAC]
A483,SINDROME DO CHOQUE TOXICO
A484,FEBRE PURPURICA DO BRASIL
A488,OUTRAS DOENCAS BACTERIANAS ESPECIFICADAS
A49,INFECCAO BACTERIANA DE LOCAL NAO ESPECIFICADO
A490,INFECCAO ESTAFILOCOCICA NE
A491,INFECCAO ESTREPTOCOCICA NE
A492,INFECCAO POR HAEMOPHILUS INFLUENZAE NE
A493,INFECCAO POR MYCOPLASMA NE
A498,OUTRAS INFECCOES BACTERIANAS DE LOCALIZACAO NE
A499,INFECCAO BACTERIANA NE
A50,SIFILIS CONGENITA
A500,SIFILIS CONGENITA PRECOCE SINTOMATICA
A501,"SIFILIS CONGENITA PRECOCE, FORMA LATENTE"
A502,SIFILIS CONGENITA PRECOCE NE
A503,OCULOPATIA SIFILITICA CONGENITA TARDIA
A504,NEUROSSIFILIS CONGENITA TARDIA [NEUROSSIFILIS JUVENIL]
A505,OUTRAS FORMAS TARDIAS E SINTOMATICAS DA SIFILIS CONGENITA
A506,SIFILIS CONGENITA TARDIA LATENTE
A507,SIFILIS CONGENITA TARDIA NE
A509,SIFILIS CONGENITA NE
A51,SIFILIS PRECOCE
A510,SIFILIS GENITAL PRIMARIA
A511,SIFILIS ANAL PRIMARIA
A512,SIFILIS PRIMARIA DE OUTRAS LOCALIZACOES
A513,SIFILIS SECUNDARIA DA PELE E DAS MUCOSAS
A514,OUTRAS FORMAS DE SIFILIS SECUNDARIA
A515,SIFILIS PRECOCE LATENTE
A519,SIFILIS PRECOCE NE
A52,SIFILIS TARDIA
A520,SIFILIS CARDIOVASCULAR
A521,NEUROSSIFILIS SINTOMATICA
A522,NEUROSSIFILIS ASSINTOMATICA
A523,NEUROSSIFILIS NE
A527,OUTRAS FORMAS DE SIFILIS TARDIA SINTOMATICA
A528,SIFILIS TARDIA LATENTE
A529,SIFILIS TARDIA NE
A53,OUTRAS FORMAS E AS NAO ESPECIFICADAS DA SIFILIS
A530,"SIFILIS LATENTE, NE SE RECENTE OU TARDIA"
A539,SIFILIS NE
A54,INFECCAO GONOCOCICA
A540,"INFECCAO GONOCOCICA DO TRATO GENITURINARIO INFERIOR, SEM ABSCESSO PERIURETRAL OU"
A541,"INFECCAO GONOCOCICA DO TRATO GENITURINARIO INFERIOR, COM ABSCESSO PERIURETRAL OU"
A542,PELVIPERITONITE GONOCOCICA E OUTRAS INFECCOES GENITURINARIAS GONOCOCICAS
A543,INFECCAO GONOCOCICA DO OLHO
A544,INFECCAO GONOCOCICA DO SISTEMA MUSCULO-ESQUELETICO
A545,FARINGITE GONOCOCICA
A546,INFECCAO GONOCOCICA DO ANUS OU DO RETO
A548,OUTRAS INFECCOES GONOCOCICAS
A549,INFECCAO GONOCOCICA NE
A55,LINFOGRANULOMA (VENEREO) POR CLAMIDIA
A56,OUTRAS INFECCOES CAUSADAS POR CLAMIDIAS TRANSMITIDAS POR VIA SEXUAL
A560,INFECCOES POR CLAMIDIAS DO TRATO GENITURINARIO INFERIOR
A561,"INFECCAO POR CLAMIDIAS, PELVIPERITONIAL E DE OUTROS ORGAOS GENITURINARIOS"
A562,"INFECCAO POR CLAMIDIAS DO TRATO GENITURINARIO, LOCALIZACAO NE"
A563,INFECCAO DO ANUS E DO RETO POR CLAMIDIAS
A564,INFECCAO DA FARINGE POR CLAMIDIAS
A568,"INFECCAO POR CLAMIDIAS TRANSMITIDA POR VIA SEXUAL, DE OUTRAS LOCALIZACOES"
A57,CANCRO MOLE
A58,GRANULOMA INGUINAL
A59,TRICOMONIASE
A590,TRICOMONIASE UROGENITAL
A598,OUTRAS LOCALIZACOES DE TRICOMONIASE
A599,TRICOMONIASE NE
A60,INFECCOES ANOGENITAIS PELO VIRUS DO HERPES [HERPES SIMPLES]
A600,INFECCAO DOS ORGAOS GENITAIS E DO TRATO GENITURINARIO PELO VIRUS DO HERPES
A601,INFECCAO DA MARGEM CUTANEA DO ANUS E DO RETO PELO VIRUS DO HERPES
A609,INFECCAO ANOGENITAL NE PELO VIRUS DO HERPES
A63,"OUTRAS DOENCAS DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL, NAO CLASSIFICADAS EM O"
A630,VERRUGAS ANOGENITAIS (VENEREAS)
A638,OUTRAS DOENCAS ESPECIFICADAS DE TRANSMISSAO PREDOMINANTEMENTE SEXUAL
A64,"DOENCAS SEXUALMENTE TRANSMITIDAS, NAO ESPECIFICADAS"
A65,SIFILIS NAO-VENEREA
A66,BOUBA
A660,LESOES INICIAIS DA BOUBA
A661,PAPILOMAS MULTIPLOS E BOUBA PLANTAR UMIDA (CRAVO DE BOUBA)
A662,OUTRAS LESOES CUTANEAS PRECOCES DA BOUBA
A663,HIPERCERATOSE DEVIDA A BOUBA
A664,GOMAS E ULCERAS DEVIDAS A BOUBA
A665,GANGOSA
A666,LESOES OSTEOARTICULARES DEVIDAS A BOUBA
A667,OUTRAS MANIFESTACOES DA BOUBA
A668,BOUBA LATENTE
A669,BOUBA NE
A67,PINTA [CARATE]
A670,LESOES PRIMARIAS DA PINTA
A671,LESOES INTERMEDIARIAS DA PINTA
A672,LESOES TARDIAS DA PINTA
A673,LESOES MISTAS DA PINTA
A679,PINTA NE
A68,FEBRES RECORRENTES [BORRELIOSES]
A680,FEBRE RECORRENTE TRANSMITIDA POR PIOLHOS
A681,FEBRE RECORRENTE TRANSMITIDA POR CARRAPATOS
A689,FEBRE RECORRENTE NE POR BORRELIOSES
A69,OUTRAS INFECCOES POR ESPIROQUETAS
A690,ESTOMATITE ULCERATIVA NECROTIZANTE
A691,OUTRAS INFECCOES DE VINCENT
A692,DOENCA DE LYME
A698,OUTRAS INFECCOES ESPECIFICADAS POR ESPIROQUETAS
A699,"INFECCAO POR ESPIROQUETA, NE"
A70,INFECCOES CAUSADAS POR CLAMIDIA PSITTACI
A71,TRACOMA
A710,FASE INICIAL DO TRACOMA
A711,FASE ATIVA DO TRACOMA
A719,TRACOMA NE
A74,OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS
A740,CONJUNTIVITE CAUSADA POR CLAMIDIAS
A748,OUTRAS DOENCAS CAUSADAS POR CLAMIDIAS
A749,INFECCAO CAUSADA POR CLAMIDIAS NE
A75,TIFO EXANTEMATICO
A750,TIFO EPIDEMICO TRANSMITIDO POR PIOLHOS DEVIDO A RICKETTSIA PROWAZEKII
A751,TIFO RECRUDESCENTE [DOENCA DE BRILL]
A752,TIFO POR RICKETTSIA TYPHI
A753,TIFO POR RICKETTSIA TSUTSUGAMUCHI
A759,TIFO NE
A77,FEBRE MACULOSA [RICKETTSIOSES TRANSMITIDAS POR CARRAPATOS]
A770,FEBRE MACULOSA POR RICKETTSIA RICHETTSII
A771,FEBRE MACULOSA POR RICKETTSIA CONORII
A772,FEBRE MACULOSA DEVIDA A RICKETTSIA SIBERICA
A773,FEBRE MACULOSA DEVIDA A RICKETTSIA AUSTRALIS
A778,OUTRAS FEBRES MACULOSAS
A779,FEBRE MACULOSA NE
A78,FEBRE Q
A79,OUTRAS RICKETTSIOSES
A790,FEBRE DAS TRINCHEIRAS
A791,RICKETTSIOSE VARICELIFORME DEVIDA A RICKETTSIA AKARI
A798,OUTROS TIPOS DE RICKETTSIOSES ESPECIFICADAS
A799,RICKETTSIOSE NE
A80,POLIOMIELITE AGUDA
A800,"POLIOMIELITE PARALITICA AGUDA, ASSOCIADA AO VIRUS VACINAL"
A801,"POLIOMIELITE PARALITICA AGUDA, VIRUS SELVAGEM IMPORTADO"
A802,"POLIOMIELITE PARALITICA AGUDA, VIRUS SELVAGEM INDIGENA"
A803,"POLIOMIELITES PARALITICAS AGUDAS, OUTRAS E NE"
A804,POLIOMIELITE AGUDA NAO-PARALITICA
A809,POLIOMIELITE AGUDA NE
A81,INFECCOES POR VIRUS LENTOS DO SISTEMA NERVOSO CENTRAL
A810,DOENCA DE CREUTZFELDT-JAKOB
A811,PANENCEFALITE ESCLEROSANTE SUBAGUDA
A812,LEUCOENCEFALOPATIA MULTIFOCAL PROGRESSIVA
A818,OUTRAS INFECCOES POR VIRUS LENTOS DO SISTEMA NERVOSO CENTRAL
A819,INFECCAO NE DO SISTEMA NERVOSOS CENTRAL POR VIRUS LENTOS
A82,RAIVA
A820,RAIVA SILVESTRE
A821,RAIVA URBANA
A829,RAIVA NE
A83,ENCEFALITE POR VIRUS TRANSMITIDOS POR MOSQUITOS
A830,ENCEFALITE JAPONESA
A831,ENCEFALITE EQAINA OCIDENTAL
A832,ENCEFALITE EQAINA ORIENTAL
A833,ENCEFALITE DE ST. LOUIS
A834,ENCEFALITE AUSTRALIANA
A835,ENCEFALITE DA CALIFORNIA
A836,DOENCA PELO VIRUS DE ROCIO
A838,OUTRAS ENCEFALITES POR VIRUS TRANSMITIDAS POR MOSQUITOS
A839,ENCEFALITE NE POR VIRUS TRANSMITIDA POR MOSQUITOS
A84,ENCEFALITE POR VIRUS TRANSMITIDO POR CARRAPATOS
A840,ENCEFALITE DA TAIGA [ENCEFALITE VERNOESTIVAL RUSSA]
A841,ENCEFALITE DA EUROPA CENTRAL TRANSMITIDA POR CARRAPATOS
A848,OUTRAS ENCEFALITES POR VIRUS TRANSMITIDAS POR CARRAPATOS
A849,ENCEFALITE NE POR VIRUS TRANSMITIDA POR CARRAPATOS
A85,"OUTRAS ENCEFALITES VIRAIS, NAO CLASSIFICADAS EM OUTRA PARTE"
A850,ENCEFALITE POR ENTEROVIRUS
A851,ENCEFALITE POR ADENOVIRUS
A852,"ENCEFALITE POR VIRUS TRANSMITIDO POR ARTROPODES, NE"
A858,OUTRAS ENCEFALITES VIRAIS ESPECIFICADAS
A86,"ENCEFALITE VIRAL, NAO ESPECIFICADA"
A87,MENINGITE VIRAL
A870,MENINGITE POR ENTEROVIRUS
A871,MENINGITE POR ADENOVIRUS
A872,CORIOMENINGITE LINFOCITARIA
A878,OUTRAS MENINGITES VIRAIS
A879,MENINGITE VIRAL NE
A88,OUTRAS INFECCOES VIRAIS DO SISTEMA NERVOSO CENTRAL NAO CLASSIFICADAS EM OUTRA
A880,FEBRE EXANTEMATICA POR ENTEROVIRUS [EXANTEMA DE BOSTON]
A881,VERTIGEM EPIDEMICA
A888,OUTRAS INFECCOES VIRAIS ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL
A89,INFECCOES VIRAIS NAO ESPECIFICADAS DO SISTEMA NERVOSO CENTRAL
A90,DENGUE [DENGUE CLASSICO]
A91,FEBRE HEMORRAGICA DEVIDA AO VIRUS DO DENGUE
A92,OUTRAS FEBRES VIRAIS TRANSMITIDAS POR MOSQUITOS
A920,FEBRE DE CHIKUNGUNYA
A921,FEBRE DE O'NYONG-NYONG
A922,FEBRE EQUINA VENEZUELANA
A923,FEBRE POR VIRUS WEST NILE
A924,FEBRE DO VALE DO RIFT
A928,OUTRAS FEBRES VIRAIS ESPECIFICADAS TRANSMITIDAS POR MOSQUITOS
A929,"FEBRE VIRAL TRANSMITIDA POR MOSQUITOS, NE"
A93,OUTRAS FEBRES POR VIRUS TRANSMITIDAS POR ARTROPODES NAO CLASSIFICADAS EM OUTRA
A930,FEBRE DE OROPOUCHE
A931,FEBRE POR FLEBOTOMOS
A932,FEBRE DO COLORADO TRANSMITIDA POR CARRAPATOS
A938,OUTRAS FEBRES VIRAIS ESPECIFICADAS TRANSMITIDAS POR ARTROPODES
A94,"FEBRE VIRAL TRANSMITIDA POR ARTROPODES, NAO ESPECIFICADA"
A95,FEBRE AMARELA
A950,FEBRE AMARELA SILVESTRE
A951,FEBRE AMARELA URBANA
A959,FEBRE AMARELA NE
A96,FEBRE HEMORRAGICA POR ARENAVIRUS
A960,FEBRE HEMORRAGICA DE JUNIN
A961,FEBRE HEMORRAGICA DE MACHUPO
A962,FEBRE DE LASSA
A968,OUTRAS FEBRES HEMORRAGICAS POR ARENAVIRUS
A969,"FEBRE HEMORRAGICA POR ARENAVIRUS, NE"
A98,"OUTRAS FEBRES HEMORRAGICAS POR VIRUS, NAO CLASSIFICADAS EM OUTRA PARTE"
A980,FEBRE HEMORRAGICA DA CRIMEIA (DO CONGO)
A981,FEBRE HEMORRAGICA DE OMSK
A982,DOENCA DA FLORESTA DE KYASANUR
A983,DOENCA DE MARBURG
A984,DOENCA PELO VIRUS EBOLA
A985,FEBRE HEMORRAGICA COM SINDROME RENAL
A988,OUTRAS FEBRES HEMORRAGICAS ESPECIFICADAS POR VIRUS
A99,FEBRES HEMORRAGICAS VIRAIS NAO ESPECIFICADAS
B00,INFECCOES PELO VIRUS DO HERPES [HERPES SIMPLES]
B000,ECZEMA HERPETICO
B001,DERMATITE VESICULAR DEVIDO AO VIRUS DO HERPES
B002,GENGIVOESTOMATITE E FARINGOAMIGDALITE DEVIDA AO VIRUS DO HERPES
B003,MENINGITE DEVIDA AO VIRUS DO HERPES
B004,ENCEFALITE DEVIDA AO VIRUS DO HERPES
B005,AFECCOES OCULARES DEVIDAS AO VIRUS DO HERPES
B007,DOENCA DISSEMINADA DEVIDA AO VIRUS DO HERPES
B008,OUTRAS FORMAS DE INFECCAO DEVIDA AO VIRUS DO HERPES
B009,INFECCAO NE DEVIDA AO VIRUS DO HERPES
B01,VARICELA
B010,MENINGITE POR VARICELA
B011,ENCEFALITE POR VARICELA
B012,PNEUMOPATIA VARICELOSA
B018,VARICELA COM OUTRAS COMPLICACOES
B019,VARICELA SEM COMPLICACAO
B02,HERPES ZOSTER [ZONA]
B020,ENCEFALITE PELO VIRUS DO HERPES ZOSTER
B021,MENINGITE PELO VIRUS DO HERPES ZOSTER
B022,HERPES ZOSTER ACOMPANHADO DE OUTRAS MANIFESTACOES NEUROLOGICAS
B023,HERPES ZOSTER OFTALMICO
B027,HERPES ZOSTER DISSEMINADO
B028,HERPES ZOSTER COM OUTRAS COMPLICACOES
B029,HERPES ZOSTER SEM COMPLICACAO
B03,VARIOLA
B04,VARIOLA DOS MACACOS [MONKEYPOX]
